epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,59799.6,1.79819,1.04888,0.00275,0.75147,0.61748,0.69828,0.36479,1.69017,0.99822,0.00369,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,60472.5,1.79729,1.04475,0.00274,0.75202,0.61773,0.69878,0.36506,1.69029,0.99741,0.00369,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,61147.1,1.79533,1.04375,0.00275,0.75158,0.61835,0.69916,0.3651,1.69047,0.99627,0.00369,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,61796.1,1.77435,1.02735,0.00294,0.75088,0.61885,0.69945,0.36548,1.69019,0.99605,0.00369,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,62446.9,1.76724,1.02025,0.00292,0.75075,0.61916,0.69959,0.36547,1.68975,0.99583,0.00369,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,63093.9,1.76554,1.01573,0.0029,0.75062,0.61896,0.69948,0.36566,1.68976,0.99456,0.00369,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,63740,1.75706,1.00924,0.0029,0.75049,0.61901,0.69947,0.36568,1.6897,0.99423,0.00369,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,64388.7,1.75902,1.0119,0.00289,0.75094,0.6193,0.70012,0.36593,1.68996,0.9934,0.00369,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,65036.2,1.75758,1.0039,0.00289,0.75159,0.61959,0.70015,0.36609,1.69015,0.99262,0.0037,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,65683.3,1.75664,1.00504,0.00287,0.7523,0.62017,0.70059,0.36625,1.69019,0.99189,0.0037,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,66329.4,1.75156,0.99896,0.00286,0.75153,0.62115,0.70105,0.36638,1.69046,0.99107,0.0037,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,66977.4,1.74945,0.99862,0.00286,0.75103,0.62102,0.70105,0.3665,1.69028,0.99035,0.0037,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,67625.1,1.74592,0.9931,0.00285,0.75105,0.62105,0.7011,0.36637,1.69069,0.98938,0.0037,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
